Fecha de diagnóstico,BMW,Casos,Muertes,Mov Residencial,Mov trabajo,Mov estaciones
2021-01-05,207.0,375.85714285714283,21.0,11.333333333333334,-25.0,-8.666666666666666
2021-01-06,185.0,401.2857142857143,19.0,11.333333333333334,-25.0,-3.0
2021-01-07,204.0,412.85714285714283,21.0,10.666666666666666,-26.333333333333332,-9.333333333333334
2021-01-08,214.0,456.85714285714283,10.0,9.333333333333334,-22.0,-4.666666666666667
2021-01-09,106.0,479.85714285714283,13.0,29.333333333333332,-57.333333333333336,-59.666666666666664
2021-01-10,0.0,457.0,12.0,24.0,-46.333333333333336,-65.0
2021-01-11,25.0,415.7142857142857,6.0,35.0,-78.66666666666667,-60.666666666666664
2021-01-12,266.0,381.7142857142857,7.0,6.333333333333333,-21.0,-1.3333333333333333
2021-01-13,203.0,345.0,11.0,8.333333333333334,-24.333333333333332,-4.0
2021-01-14,225.0,338.14285714285717,10.0,8.333333333333334,-28.333333333333332,-9.333333333333334
2021-01-15,232.0,355.85714285714283,22.0,9.0,-26.0,-9.0
2021-01-16,141.0,355.57142857142856,21.0,7.666666666666667,-16.333333333333332,-13.0
2021-01-17,0.0,378.7142857142857,14.0,7.666666666666667,-14.333333333333334,-24.666666666666668
2021-01-18,185.0,418.2857142857143,14.0,10.0,-28.0,-7.666666666666667
2021-01-19,234.0,432.0,21.0,10.0,-26.333333333333332,-14.0
2021-01-20,206.0,447.42857142857144,10.0,11.0,-27.0,-9.0
2021-01-21,213.0,428.2857142857143,18.0,10.333333333333334,-27.333333333333332,-10.666666666666666
2021-01-22,222.0,387.0,11.0,10.666666666666666,-23.0,-13.333333333333334
2021-01-23,152.0,365.2857142857143,10.0,7.333333333333333,-13.666666666666666,-8.666666666666666
2021-01-24,0.0,358.85714285714283,13.0,7.666666666666667,-13.333333333333334,-18.666666666666668
2021-01-25,196.0,328.57142857142856,14.0,10.0,-26.0,-6.666666666666667
2021-01-26,199.0,306.57142857142856,11.0,10.333333333333334,-24.333333333333332,-11.0
2021-01-27,184.0,287.7142857142857,1.0,10.333333333333334,-24.333333333333332,-7.333333333333333
2021-01-28,178.0,303.7142857142857,8.0,10.333333333333334,-25.0,-9.333333333333334
2021-01-29,201.0,306.42857142857144,8.0,9.333333333333334,-20.0,-2.3333333333333335
2021-01-30,209.0,299.2857142857143,7.0,5.0,-9.0,0.6666666666666666
2021-01-31,0.0,292.0,6.0,4.666666666666667,-7.333333333333333,-5.333333333333333
2021-02-01,194.0,292.42857142857144,11.0,9.666666666666666,-24.333333333333332,-1.6666666666666667
2021-02-02,248.0,269.42857142857144,8.0,9.0,-22.333333333333332,-6.0
2021-02-03,191.0,242.57142857142858,8.0,9.666666666666666,-22.666666666666668,-5.666666666666667
2021-02-04,227.0,207.14285714285714,5.0,9.666666666666666,-24.666666666666668,-9.333333333333334
2021-02-05,205.0,188.14285714285714,7.0,9.666666666666666,-19.333333333333332,-9.0
2021-02-06,141.0,178.0,4.0,5.333333333333333,-8.0,-8.333333333333334
2021-02-07,0.0,166.28571428571428,6.0,5.0,-8.333333333333334,-16.333333333333332
2021-02-08,209.0,145.28571428571428,5.0,9.666666666666666,-23.0,-6.666666666666667
2021-02-09,215.0,148.57142857142858,5.0,9.666666666666666,-20.666666666666668,-8.333333333333334
2021-02-10,208.0,147.71428571428572,3.0,10.333333333333334,-20.666666666666668,-5.666666666666667
2021-02-11,221.0,141.57142857142858,5.0,10.333333333333334,-22.0,-11.0
